,TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
1738,371210825,1702.01,,5,5,5,5,5,5,5,23.9,96.1,8.99,3,0,2,PC,False,10.9894,0.006,,1,qlp,QLP,07:26:14.24,32:23:01.77,-42.674,0.179,-74.653,0.16,2458842.74962,0.00292,0.40312,0.0001,0.853,0.323,1.086279,0.015864,1000.0,14.6108,2.95177,0.440428,1215.98,1645.0,11.0,103.107,1.187,4252.9,105.3,4.37,0.09,0.89,0.07,-0.214058,0.037983,0.665,0.0751074,20,2020-02-19,2020-02-19,2022-12-14 12:09:24,potential L1 candidate; ultra short period
1740,95129101,1704.01,,5,5,5,5,5,5,5,13.0,66.3,34.66,0,1,10,PC,False,10.8508,0.007,,1,qlp-s46-tois,QLP,07:39:43.89,28:07:12.53,3.12,0.089,-4.992,0.075,2459575.195833,0.0011667,3.929983,1.51e-05,2.153,0.167,2.467423,0.001659,2270.0,1.5283,6.51515,0.363202,398.651,1244.0,29.0,343.469,5.973,6621.9,137.7,4.33,0.09,1.34,0.06,-0.011,0.01,1.39,0.227293,"20,44,45,46",2020-02-19,2022-03-07,2022-12-14 12:09:24,v-shaped; Centroids show source is TIC 95129100
1741,137500798,1705.01,,5,5,5,5,5,5,5,2.2,22.6,13.56,2,1,3,EB,False,10.3042,0.007,,1,qlp-s74-ffi,QLP,08:50:32.4,82:55:37.63,-4.83,0.039,-17.892,0.042,2460328.287633,0.0049085,13.2054538,7.68e-05,4.875,0.47,0.699439,0.031682,644.0,29.1797,3.74642,0.205098,193.559,1039.0,19.0,335.518,2.892,6653.0,124.9,4.14,0.09,1.67,0.07,,,1.4,0.243274,"19,20,26,40,47,53,59,60,73,74",2020-02-19,2024-03-04,2024-03-16 12:15:27,possible secondary at phase 0.45; centroid offset to NW on TIC 37500799; retired as TFOP FP/NEB
1744,240148934,1707.01,,5,5,5,5,5,5,5,21.3,90.4,34.77,1,1,7,EB,False,10.3135,0.006,,1,qlp-s20-ffi,QLP,06:45:31.72,31:27:55.92,18.699,0.081,-28.382,0.068,2458843.26677,0.00401,2.02365,0.00075,2.585,0.448,1.858198,0.00261,1710.0,2.40429,5.96472,0.381378,2411.54,1952.0,15.0,291.007,5.6945,6582.0,123.8,4.24,0.09,1.48,0.07,,,1.37,0.225354,20,2020-02-19,2022-03-10,2022-12-14 12:09:24,slight depth/aperture correlation; missing transit; retired as NEB
1747,445805961,1710.01,,3,5,5,3,4,4,4,8.3,102.8,23.64,2,24,5,CP,True,8.9134,0.006,,1,qlp-s79-ffi,QLP,06:17:08.12,76:12:39.67,59.837,0.037,55.61,0.044,2460439.666809,0.0007764,24.2833782,1.82e-05,5.132,0.121,3.092233,0.041189,2844.0,37.9357,5.21152,0.25711,30.5138,654.0,71.0,81.2271,0.17695,5675.0,125.8,4.46,0.08,0.98,0.05,,,1.01,0.128534,"19,20,26,40,53,59,60,73,79",2020-02-19,2024-08-29,2024-08-31 12:14:55,TOI-1710 b
1748,461662295,1711.01,,5,5,5,5,5,5,5,25.3,145.1,46.6,0,3,1,PC,False,9.92871,0.006,,1,qlp,QLP,08:17:47.2,51:00:37.33,-39.008,0.057,-48.908,0.044,2458844.85466,0.00472,10.2558,0.0046,5.088,0.309,6.250081,0.001002,5740.0,0.923177,7.44683,0.405057,126.859,934.0,66.0,112.978,0.4275,5326.0,120.0,4.43,0.08,0.97,0.05,,,0.918,0.120378,20,2020-02-19,2020-02-19,2022-12-14 12:09:24,Gaia RV error is 7 km/s; check for secondaries; period could be 2x; observed transits could be secondaries
1749,67926921,1712.01,,5,5,5,5,5,5,5,65.7,92.9,317.0,2,3,5,PC,False,9.9841,0.006,,1,qlp-s47-tois,QLP,08:31:46.97,44:49:56.33,-1.527,0.064,-6.598,0.05,2459606.849596,0.0005817,3.566276,4.4e-06,4.197,0.105,4.209951,0.000345,3870.0,0.317992,20.2251,0.859403,1949.16,1851.0,54.0,574.264,13.792,6831.4,98.6,3.61,0.09,3.17,0.13,-0.249923,0.00668965,1.48,0.258801,"20,47",2020-02-19,2022-06-28,2023-02-06 12:03:45,TFOP SB2/APC; Hot host star; likely too large to be planetary; possible phase modulations
1751,239154970,1714.01,,5,5,5,5,5,5,5,105.1,158.0,317.0,0,0,2,KP,True,10.7131,0.008,,1,qlp-s47-tois,SPOC/QLP,07:32:44.22,33:50:06.08,0.096,0.073,-2.647,0.07,2459603.425538,0.0001597,3.4744763,1.9e-06,4.258,0.018,14.119119,0.000108,12920.0,0.0996836,19.6131,0.810264,1701.38,1789.0,267.0,396.11,7.5075,6642.3,107.3,4.14,0.09,1.67,0.07,0.021,0.01,1.4,0.236512,"20,44,45,46,47",2020-02-19,2022-06-28,2022-12-14 12:09:24,HAT-P-33 b
1752,142090065,1715.01,,5,5,5,5,5,5,5,15.8,100.0,20.75,6,5,1,PC,False,9.01249,0.006,,1,spoc-s14-s60-b0A-PC,SPOC/QLP,05:16:17.64,79:44:15.82,-6.382,0.051,13.103,0.066,2459738.517459,0.0011386,2.82693563713078,2.6106343e-06,1.16923664859652,0.09165718,1.032977,0.03171,950.954438150217,29.205482,4.81122091375147,0.80754805,2458.62770726063,1795.944627784,34.44793,182.907,1.2905,7072.0,131.2,4.28,0.09,1.50581002235413,0.0587262,,,1.566,0.274503,"19,20,25,26,40,52,53,59,60",2020-02-19,2023-05-19,2024-01-09 12:02:53,V-shaped; close neighbor TIC 142090063 w/ Tmag~11; ~150 ppm secondary at phase 0.56
1757,356473034,1720.01,,5,5,5,5,5,5,5,129.5,305.2,115.1,0,0,1,KP,True,10.4467,0.006,,1,qlp-s60-ffi,SPOC/QLP,07:48:06.42,50:13:30.53,-29.731,0.083,-154.272,0.05,2459957.574412,0.0002035,2.6158597,9e-07,2.517,0.06,14.606505,0.147582,13363.0,135.919,13.1204,0.946292,428.036,1267.0,172.0,154.273,1.446,5267.0,152.7,4.32,0.1,1.08,0.08,0.38,0.1,0.902,0.114612,"20,47,60",2020-02-19,2023-02-27,2023-03-03 12:11:24,XO-2 N b
