Planet Insolation (Earth Flux),Planet Equil Temp (K),Time Series Observations,Stellar Mass (M_Sun),Stellar log(g) (cm/s^2),Planet Radius (R_Earth),Stellar Eff Temp (K),Stellar Distance (pc),Depth (mmag),Depth (ppm),Period (days),Spectroscopy Observations,TFOPWG Disposition
-0.21779638755667716,-0.18140630605209263,-0.2925193948275222,-0.3600087095318738,0.40560686142339053,0.2038272047468766,-0.29324513963106924,0.14456279696426189,0.12454247299435697,0.17044259343452237,-0.13805324771888794,-0.4098082817923426,True
-0.2044011630270504,-0.0717395230629201,-0.2925193948275222,-0.2420237970201349,-0.062226181025609346,0.26569309115667405,-0.12074129002947855,-0.17784836516612917,0.21489451256957456,0.28296349636815854,-0.1304564327403386,-0.29527578511164654,True
-0.2225510674521028,-0.22655545676562128,-0.4584030348712219,0.15912490551977676,0.4601545877407916,0.2940231417969235,0.1348199686395447,0.05051566373335311,0.30779426803784166,0.3983628541895298,-0.11360712454032273,-0.29527578511164654,True
-0.2136110981318151,-0.14467385327977,-0.4584030348712219,-0.21842681451778714,-0.09006455347499863,-0.004346931140839922,-0.024905818028594828,-0.3120684097050569,-0.06194927716375468,-0.0627029017223503,-0.11522990241954673,-0.29527578511164654,True
-0.24768938988970504,-0.5838352733645418,-0.4584030348712219,-0.33641172702952604,0.37676850108763915,-0.001353332052605178,-0.29516184907108695,0.05859336036879915,0.14306057596962501,0.1935273464447411,-0.0871775951894341,-0.4098082817923426,True
-0.24007549483998747,-0.4424853440622231,-0.2925193948275222,-0.6903664645647422,0.5991851616189673,0.11197756341464822,-0.587140587100446,-0.41608027448450763,0.29115489191028354,0.37771546020685903,-0.12469033895780336,-0.4098082817923426,True
-0.14984952640885849,0.23645882931594375,-0.4584030348712219,-0.19482983201543938,-1.5095312293300458,0.4779014182902855,-0.08572939759182224,0.2931402404156602,-0.10814211128281415,-0.12063865344839378,-0.10948839936600543,-0.4098082817923426,True
-0.25671205927285967,-0.8016645114110416,0.3710151653472766,-0.3128147445271782,0.19248041093311055,-0.4956659447387183,-0.16163109141652227,-0.5031995839272634,-0.24997272376128524,-0.29899055005770936,-0.06224175297092868,0.1628542016111376,True
0.0,-2.711905091635895e-16,-0.4584030348712219,-0.33641172702952604,-1.7353349456055052,0.13335966909403912,-0.2298020571664841,-0.5260091184393099,-0.22871547181796092,-0.2722147321067252,0.043913166606857665,-0.29527578511164654,True
-0.26019019094666757,-1.2271589128264395,1.3663170056094747,-1.8563924773322549,2.0971992730641213,-0.6417287974788736,-1.6106634280698842,-0.5532714617425649,-0.1011321831471009,-0.11184191453101795,-0.08069974304768579,-0.29527578511164654,True
0.7980930873928608,2.056064989109734,0.03924788525987717,0.3785768427916108,-0.117096484080546,1.1664617295207442,0.22298860288035774,-0.398028473610554,-0.1440494251292657,-0.1657256227952286,-0.11484195161633426,1.9953741485022742,True
-0.22716418227419993,-0.1397113090783912,2.0298515657842735,-0.45439663954126464,0.5250247696593554,-0.6389690625944477,-0.4376372507790674,-0.47681999180727863,-0.27957251650571646,-0.3363010984942758,-0.08892707187766087,0.2773866982918336,True
-0.25807661108253155,-0.8946957722794141,2.0298515657842735,-0.45439663954126464,0.5250247696593554,-0.6429152780675214,-0.4376372507790674,-0.47681999180727863,-0.2751449145681361,-0.33071813321727134,-0.002020463797566608,0.2773866982918336,True
-0.25966863160032416,-1.0712166262347875,2.0298515657842735,-0.45439663954126464,0.5250247696593554,-0.6488159946851102,-0.4376372507790674,-0.47681999180727863,-0.28205607913470226,-0.3394330058447905,0.20692001510701977,0.2773866982918336,True
-0.21563138747573188,-0.16208527424695576,-0.4584030348712219,-0.029650954499004935,0.13677140836057958,0.2608027110792084,-0.05621207221555018,0.2448271478724238,0.2670519111311915,0.34778971540626435,-0.12012005515204668,-0.4098082817923426,True
