,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Pipeline Signal ID,Source,Detection,PM RA err (mas/yr),PM Dec err (mas/yr),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err
2218,2,5,5,2,4,4,4,2.4,80.4,5.36,7,0,6,PC,True,11.7371,0.007,1,spoc-s14-s41-b0A-PC,SPOC,0.103,0.112,0.002155869,7.85190820404635,3.6743193e-05,1.63187259568172,0.27211654,4.214266,0.289701,3873.95914916701,266.78912,2.17058026165306,0.5446732,4.89046879575074,379.277755825568,14.27448,33.3631,0.06425,3384.0,157.0,4.87998,0.000834811,0.343879997730255,0.0103308,,,0.327134,0.0202642
2220,5,5,5,5,5,5,5,190.1,363.3,317.0,6,2,1,EB,False,12.5466,0.006,1,spoc-s14-s55-b0A-APC,SPOC,0.075,0.082,0.00018496477,1.48218448305313,6.72061e-07,2.59568271772436,0.02584985,17.809389,0.153043,16269.256279263,140.9483,27.5079497721211,6.821365,4005.67585598038,2029.03108372928,168.65538,772.026,26.103,6835.31,137.219,4.37191,0.0939989,1.3128399848938,0.0728443,-0.169973,0.0134518,1.48,0.255652
2221,5,5,5,5,5,5,5,111.3,208.8,127.49,0,0,0,KP,True,12.4197,0.007,1,spoc-s14-s55-b0A-KP,SPOC,0.022,0.026,0.0003239,1.4013784006976,8.9033915e-07,1.70427147488646,0.02165711,21.64148,0.245646,19735.2001266552,226.22255,13.9977477623792,0.9058741,917.410094908259,1403.65581193692,107.293,298.214,1.4135,4984.0,124.134,4.41028,0.0852564,0.934976994991302,0.0597739,,,0.82,0.0960542
2222,5,5,5,5,5,5,5,122.8,309.1,123.98,0,2,10,KP,True,10.854,0.006,1,spoc-s14-s55-b0A-KP,QLP,0.043,0.043,9.375683e-05,2.47061141800205,5.841553e-07,1.7944860211758,0.008252223,15.649912,0.078499,14310.7159757664,72.29766,13.7703405341296,0.5475148,817.565819281973,1363.79919927797,260.52148,215.32,1.0445,5854.0,101.6,4.45,0.07,1.01612997055054,0.0402412,-0.03,0.1,1.057,0.133502
2223,1,5,5,1,4,4,4,3.5,63.2,8.59,1,6,4,CP,True,8.8975,0.006,1,qlp-s79-ffi,SPOC,0.056,0.073,0.0025581,18.2616878,5.45e-05,3.434,0.968,1.054762,0.060733,971.0,55.936,2.85973,0.178756,57.4643,767.0,23.0,77.682,0.22505,5674.0,123.907,4.49483,0.0781668,0.94,0.05,,,1.01,0.129756
2227,3,4,4,3,4,4,4,35.6,105.4,101.72,4,26,6,CP,True,8.55942,0.006,1,qlp-s52-tois,SPOC,0.035,0.04,0.0013012,10.2611329,1.4e-05,7.369,0.174,2.064861,0.000142,1900.0,0.130946,12.2521,0.562841,515.939,1327.0,65.0,224.731,1.097,6202.0,129.8,3.63,0.08,2.78,0.13,,,1.191,0.175148
2228,5,5,5,5,5,5,5,62.1,94.5,317.0,1,1,0,EB,False,9.9094,0.007,1,qlp-s53-ffi,QLP,0.037,0.042,0.0007575,5.8924856,1.1e-05,3.134,0.146,4.929559,0.0181,4530.0,16.6706,17.4655,1.16352,1958.56,1853.0,60.0,402.908,4.1665,7272.0,126.3,4.0,0.09,2.13,0.08,,,1.64,0.273988
2230,5,5,5,5,5,5,5,19.9,88.1,127.84,1,1,0,EB,False,10.6746,0.007,1,qlp-s26-ffi,QLP,0.137,0.129,0.00111,23.48522,0.00014,3.546,0.183,6.555885,0.021008,6020.0,19.3491,14.0152,1.01956,62.0856,782.0,53.0,299.668,5.442,5930.0,123.1,4.11,0.08,1.51,0.08,,,1.08,0.140484
2232,5,5,5,5,5,5,5,14.9,60.2,34.67,0,2,4,EB,False,10.4288,0.006,1,qlp-s53-ffi,QLP,0.041,0.055,0.0018932,2.2263798,1.23e-05,2.863,0.23,1.379761,0.000983,1270.0,0.905012,6.51393,0.326362,2064.9,1877.0,25.0,370.536,3.975,6446.3,103.4,4.03,0.08,1.84,0.07,-0.015,0.013,1.306,0.202741
2233,5,5,5,5,5,5,5,38.7,55.2,317.0,0,3,0,PC,False,10.142,0.006,1,qlp,QLP,0.093,0.124,0.00208,15.64643,0.0022,7.75,0.593,6.544962,0.001274,6010.0,1.17312,16.1126,0.887288,323.367,1181.0,43.0,277.934,3.9955,5660.0,128.7,3.86,0.08,1.95,0.1,,,1.005,0.126994
2234,3,4,4,3,4,4,4,67.4,64.8,317.0,8,16,4,CP,True,10.7053,0.006,1,spoc-s58-b0A,QLP,0.04,0.048,0.00062917935,3.37728354061576,0.00014720649,3.64345138848678,0.044961117,7.863619,0.114823,7216.49613566062,105.75039,15.3058360743621,0.7087468,2195.78793278408,1745.89189191171,47.815075,303.006,3.0795,6688.0,148.6,4.11,0.09,1.7323499917984,0.0773467,,,1.416,0.240633
2235,5,5,5,5,5,5,5,8.0,37.1,16.75,0,2,5,EB,False,9.54581,0.006,1,spoc-s14-s55-b0A-PC,QLP,0.047,0.071,0.0017153875,2.71808350809971,2.2696464e-05,6.184292171672,0.16978851,0.357454,0.024184,329.172820500964,22.274033,4.24239463672472,0.38344386,3009.10755872302,1888.98790622858,12.856501,238.675,1.6105,5668.0,127.1,3.76,0.08,2.18059992790222,0.110729,,,1.007,0.125115
2236,3,4,4,3,4,4,4,90.4,111.8,317.0,8,11,1,CP,True,10.6611,0.009,1,spoc-s14-s60-b0A-CP,QLP,0.036,0.043,0.000245,3.82408264319209,2.6250875e-06,2.51725214951287,0.015033378,11.017423,0.07744,10096.109863326,71.32192,16.0547023778368,0.7449469,1005.89462587993,1436.3420386764,184.49054,296.46,2.1585,6243.0,133.5,4.24,0.08,1.38718998432159,0.0639749,,,1.21,0.172195
2238,5,5,5,5,5,5,5,172.9,94.6,317.0,4,2,3,EB,False,9.87437,0.006,1,qlp,QLP,0.029,0.046,0.00358,0.67554,0.00016,0.922,0.174,0.738552,0.508417,680.0,468.16,15.6973,,7493.17,2591.0,11.0,253.011,1.8815,4872.0,122.0,,,2.74,,,,,
2240,3,5,5,3,4,4,4,32.4,110.9,81.68,2,3,4,PC,True,10.1669,0.006,1,qlp-s53-ffi,QLP,0.044,0.074,0.0008904,8.6007557,1.68e-05,3.304,0.159,5.54051,0.00157,5090.0,1.44629,10.7988,0.607636,81.4989,837.0,62.0,198.473,1.393,5389.0,122.6,4.06,0.08,1.5,0.08,,,0.935,0.114776
2243,5,5,5,5,5,5,5,2.6,6.6,1.32,0,1,0,EB,False,9.5998,0.006,1,qlp-s53-ffi,QLP,0.034,0.042,0.0039488,1.5873866,1.2e-05,1.51,0.224,0.119438,0.001097,110.0,1.0107,1.09083,0.11201,466.553,1294.0,11.0,73.1018,0.10265,5028.0,122.7,4.55,0.09,0.81,0.05,,,0.84,0.102035
2244,5,5,5,5,5,5,5,3.4,27.5,19.72,1,2,1,EB,False,10.2182,0.008,1,qlp,QLP,0.042,0.04,0.0028054,12.9774853,6.9e-05,3.259,0.412,0.836339,0.000724,770.0,0.666712,4.66514,0.246928,103.437,888.0,21.0,315.323,2.138,6610.0,126.1,4.14,0.09,1.66,0.07,,,1.38,0.229351
2246,5,5,5,5,5,5,5,37.0,54.2,101.59,3,2,1,PC,False,10.879,0.009,1,qlp,QLP,0.059,0.063,0.00467,1.09333,0.00037,1.975,0.423,1.358019,0.004023,1250.0,3.70573,12.2642,,2102.07,1886.0,12.0,529.49,10.5455,5274.0,122.0,,,3.39,,,,,
2249,5,5,5,5,5,5,5,10.1,69.7,61.25,0,2,1,EB,False,10.7791,0.006,1,qlp-s41-tois,QLP,0.035,0.037,0.001291,23.0531698,7.28e-05,1.228,0.355,3.196766,0.209013,2940.0,192.49,9.12613,1.86455,7.85406,466.0,21.0,232.304,1.076,5752.0,126.2,4.3,0.08,1.19,0.06,,,1.029,0.127892
2250,5,5,5,5,5,5,5,11.5,83.0,120.52,1,0,0,EB,False,10.9591,0.006,1,qlp-s26-ffi,QLP,0.032,0.046,0.00176,37.83633,0.0004,5.713,0.273,8.98353,0.017887,8240.0,16.4745,13.5094,0.802617,80.1971,833.0,68.0,310.885,1.81,6641.0,158.8,4.38,0.09,1.26,0.05,,,1.396,0.242746
2253,5,5,5,5,5,5,5,77.5,193.7,126.44,1,0,2,PC,False,10.8181,0.006,1,qlp,QLP,1.038,1.281,0.00185,1.78166,0.00025,2.765,0.129,8.895952,0.003694,8160.0,3.40197,13.9111,,2772.81,,22.0,420.268,,6528.0,,,,1.49,,,,,
2254,5,5,5,5,5,5,5,63.4,47.6,317.0,2,2,4,PC,False,10.8642,0.007,1,qlp,QLP,0.039,0.041,0.00567,1.78252,0.00074,2.729,0.692,2.086617,0.036331,1920.0,33.4617,18.6528,,4451.36,2275.0,12.0,600.502,8.152,5085.0,122.0,,,3.7,,,,,
2255,5,5,5,5,5,5,5,15.5,90.8,11.21,2,1,1,EB,False,10.4929,0.006,1,qlp-s73-ffi,QLP,0.036,0.038,0.0015075,0.6856225,1.8e-06,0.751,0.221,0.785271,0.087058,723.0,80.18,3.35129,0.226641,2492.49,1968.0,23.0,185.849,0.6985,5829.0,132.5,4.41,0.08,1.06,0.05,,,1.05,0.135379
2257,5,5,5,5,5,5,5,42.5,63.6,317.0,0,26,4,KP,True,12.9614,0.007,1,spoc-s14-s55-b0A-KP,CTOI,0.025,0.024,0.0018763902,4.43797265828439,9.578716e-06,4.71766241292582,0.05717192,17.7578,0.194018,16222.5125043494,178.68088,20.3565336658232,1.0926616,944.872513505406,1414.04442350602,84.43825,881.386,9.7485,5967.0,137.8,4.08,0.08,1.569659948349,0.0825728,0.05,0.1,1.09,0.140633
2258,5,5,5,5,5,5,5,15.1,51.5,111.4,0,23,4,KP,True,12.9934,0.007,1,spoc-s14-s55-b0A-KP,CTOI,0.023,0.023,0.0029508474,7.89142712367569,3.3112854e-05,4.26531558746947,0.111837864,10.716818,0.232289,9822.00024864521,213.92288,12.9299941584516,0.7944591,278.976798643939,1042.34568079629,35.838375,722.795,6.5885,5883.0,146.4,4.25,0.08,1.27991998195648,0.0708593,0.19,0.1,1.07,0.139548
2259,5,5,5,5,5,5,5,25.9,30.0,317.0,0,59,4,KP,True,13.1448,0.007,1,spoc-s14-s55-b0A-KP,CTOI,0.023,0.027,0.001682,3.52247509699986,1.5128829e-05,3.28049551896563,0.0972857,9.380261,0.226718,8602.32564504174,208.79324,15.9014831830639,0.31712493,1423.86794067703,1566.70481260203,35.53251,1021.87,14.575,6179.0,25.0,4.11,,1.58169996738434,,-0.05,0.1,1.18,
2260,5,5,5,5,5,5,5,17.2,46.9,99.38,0,2,4,KP,True,13.4633,0.007,1,spoc-s14-s55-b0A-KP,CTOI,0.025,0.026,0.0008681771,3.02411095068699,1.2192887e-05,2.72096566506627,0.13215688,8.237863,0.261968,7558.64110862614,241.25273,12.0899079394687,0.6376047,1227.38442506989,1509.61047806369,27.73197,1005.84,14.19,6041.0,143.0,4.22,,1.36388003826141,,0.33,0.11,1.12,
