,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,Pipeline Signal ID,Source,Detection,Period (days),Duration (hours),Depth (mmag),Depth (ppm),Planet Radius (R_Earth),Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Eff Temp (K),Stellar log(g) (cm/s^2),Stellar Radius (R_Sun),Stellar Mass (M_Sun)
4289,5,5,5,5,5,5,5,65.7,179.2,69.61,0,2,3,EB,False,10.0415,1,qlp-s46-tois,QLP,2.2042212,1.011,4.624212,4250.0,9.78883,97.961,876.0,14.0,197.507,5702.0,4.14,1.42,1.016
4292,5,5,5,5,5,5,5,8.2,359.4,9.22,10,0,2,PC,False,15.951,1,spoc,SPOC,0.599246232075453,2.21604622404521,25.637872,23336.7389089149,2.98511066933168,228938.906951062,5578.91379551692,19.603586,5885.3,31000.0,5.59998,0.180000007152557,0.47
4295,2,5,5,2,4,4,4,2.2,64.5,7.07,8,0,2,PC,True,14.2612,1,spoc-s01-s39-b0A-PC,SPOC,4.90199383996472,1.32438037042445,11.762238,10774.951205986,2.55541452816516,5.05348481037763,382.399654070162,11.158407,69.3649,3147.0,5.04654,0.240806996822357,0.210978
4299,5,5,5,5,5,5,5,20.4,128.7,96.4,1,0,0,PC,False,13.0123,1,spoc,SPOC,10.2813283926383,2.44149163761176,41.310875,37333.9631684062,11.875911930378,10.9982809225144,464.462816780139,51.878952,148.134,3919.0,4.63413,0.593316972255707,0.582602
4312,3,4,4,3,4,4,4,49.8,141.6,99.87,4,2,2,PC,True,13.5011,1,qlp-s06-faintsearch,FAINT,3.5809733,2.18,40.765178,36850.0,12.0428,40.4443,702.0,50.0,189.011,3790.0,4.64,0.61,0.599491
4318,5,5,5,5,5,5,5,38.7,50.4,317.0,1,0,0,PC,False,13.3581,1,qlp-s06-faintsearch,FAINT,1.0681394,2.082,7.944008,7290.0,19.5184,7148.75,2561.0,12.0,1719.42,7248.0,3.95,2.23,1.63
4324,5,5,5,5,5,5,5,26.3,80.2,61.57,2,0,1,PC,False,12.6825,1,qlp-s07-faintsearch,FAINT,1.0435229,1.476,5.409563,4970.0,9.09391,2148.73,1896.0,24.0,656.326,6259.0,4.34,1.23,1.22
4327,5,5,5,5,5,5,5,8.7,128.9,14.53,0,1,1,PC,False,11.2486,1,qlp-s07-faintsearch,FAINT,2.1816809,3.83,1.390633,1280.0,10.567321062883888,13037.6,2976.0,16.0,1675.78,8582.7,4.08,1.5383132826009873,1.1025655704054766
4328,5,5,5,5,5,5,5,25.3,70.8,80.42,0,0,0,EB,False,13.5295,1,spoc-s61-b0A,FAINT,1.18703366694639,2.7329028614651,8.900962,8164.57625528385,10.6747148577334,3443.56046175264,1953.76208668875,10.483797,927.754,6325.0,4.41,1.1588499546051,1.25
4330,5,5,5,5,5,5,5,3.6,14.3,14.48,0,0,0,EB,False,16.0657,1,qlp-s07-faintsearch,FAINT,1.1471548,1.403,2.902793,2670.0,3.90118,249.626,1107.0,26.0,695.78,3901.0,4.47,0.75,0.605
